epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,61.4559,1.0154,0.79917,0.79619,1,0.98639,0.995,0.4474,1.65996,0.72082,1.1003,0.0010001,0.0010001,0.0010001
103,62.0076,0.96709,0.7833,0.81786,0.96632,0.75,0.74577,0.42247,1.65405,0.69114,1.10202,0.0009902,0.0009902,0.0009902
104,62.578,0.9568,0.77901,0.83743,0.96371,0.75,0.74575,0.3976,1.75,0.68528,1.09994,0.0009803,0.0009803,0.0009803
105,63.0993,0.96292,0.7648,0.81764,0.96371,0.75,0.74575,0.3976,1.75,0.68528,1.09994,0.0009704,0.0009704,0.0009704
106,63.6587,0.97947,0.77793,0.79574,0.966,0.75,0.74576,0.40584,1.84222,0.70589,1.11733,0.0009605,0.0009605,0.0009605
107,64.211,1.00828,0.77826,0.84366,1,0.97194,0.995,0.38929,1.84784,0.74528,1.11134,0.0009506,0.0009506,0.0009506
108,64.7849,1.05222,0.79665,0.81164,0.96446,0.75,0.945,0.42815,1.80315,0.76763,1.0888,0.0009407,0.0009407,0.0009407
109,65.3115,1.04316,0.75213,0.83373,0.96446,0.75,0.945,0.42815,1.80315,0.76763,1.0888,0.0009308,0.0009308,0.0009308
110,65.8767,0.89557,0.72463,0.8085,0.96626,0.75,0.945,0.46963,1.70266,0.73296,1.07252,0.0009209,0.0009209,0.0009209
111,66.4159,0.99174,0.72835,0.81351,0.95729,0.75,0.91167,0.44305,1.74517,0.72773,1.07816,0.000911,0.000911,0.000911
112,66.9926,0.98673,0.77058,0.81829,0.93377,0.75,0.91167,0.40157,1.84077,0.75581,1.09169,0.0009011,0.0009011,0.0009011
113,67.5226,0.99013,0.7414,0.8401,0.93377,0.75,0.91167,0.40157,1.84077,0.75581,1.09169,0.0008912,0.0008912,0.0008912
114,68.1013,0.97008,0.71822,0.85163,0.91724,0.75,0.91167,0.37243,1.81836,0.70404,1.10109,0.0008813,0.0008813,0.0008813
115,68.6688,0.95395,0.79362,0.79331,0.91455,0.75,0.91167,0.32301,1.94901,0.71529,1.10624,0.0008714,0.0008714,0.0008714
116,69.2398,0.89037,0.74306,0.82806,0.93385,0.75,0.74575,0.35605,2.03148,0.70879,1.10239,0.0008615,0.0008615,0.0008615
117,69.793,0.84407,0.6859,0.79748,0.93385,0.75,0.74575,0.35605,2.03148,0.70879,1.10239,0.0008516,0.0008516,0.0008516
118,70.3602,0.89634,0.69252,0.80353,0.95177,0.75,0.74574,0.38935,1.84307,0.70881,1.07287,0.0008417,0.0008417,0.0008417
119,70.9257,0.91811,0.70389,0.81596,0.96052,0.75,0.74575,0.43886,1.4972,0.6751,1.04791,0.0008318,0.0008318,0.0008318
120,71.4792,0.97101,0.71625,0.79173,0.96169,0.75,0.74575,0.4471,1.38659,0.66861,1.04436,0.0008219,0.0008219,0.0008219
121,71.9972,0.97452,0.72202,0.86332,0.96169,0.75,0.74575,0.4471,1.38659,0.66861,1.04436,0.000812,0.000812,0.000812
122,72.6574,1.01596,0.73581,0.85868,0.96123,0.75,0.74574,0.43069,1.48251,0.74391,1.03581,0.0008021,0.0008021,0.0008021
123,73.2112,0.88993,0.69412,0.79593,0.96591,0.75,0.74574,0.38097,1.72296,0.78666,1.04654,0.0007922,0.0007922,0.0007922
124,73.7789,0.96405,0.71218,0.82654,0.97221,0.75,0.74577,0.37275,1.77951,0.73595,1.04638,0.0007823,0.0007823,0.0007823
125,74.3004,0.95866,0.73223,0.84798,0.97221,0.75,0.74577,0.37275,1.77951,0.73595,1.04638,0.0007724,0.0007724,0.0007724
126,74.8726,0.90775,0.71928,0.82912,0.97444,0.75,0.74578,0.37276,1.82791,0.6827,1.06066,0.0007625,0.0007625,0.0007625
127,75.4332,0.83864,0.70025,0.81028,0.9748,0.75,0.74576,0.38098,1.80407,0.69939,1.06824,0.0007526,0.0007526,0.0007526
128,75.9873,1.00589,0.75508,0.83602,0.7752,1,0.945,0.40091,1.70324,0.68736,1.06654,0.0007427,0.0007427,0.0007427
129,76.5332,0.89026,0.66883,0.82002,0.7752,1,0.945,0.40091,1.70324,0.68736,1.06654,0.0007328,0.0007328,0.0007328
130,77.1,0.87744,0.63658,0.83026,0.96317,0.75,0.74576,0.35613,1.78723,0.76013,1.07139,0.0007229,0.0007229,0.0007229
131,77.6643,0.99551,0.72484,0.79849,0.95411,0.75,0.74574,0.36428,1.82763,0.8183,1.07861,0.000713,0.000713,0.000713
132,78.2315,0.86623,0.69148,0.82275,0.95199,0.75,0.7457,0.33093,1.95285,0.82536,1.09166,0.0007031,0.0007031,0.0007031
133,78.7536,0.93398,0.65618,0.84071,0.95199,0.75,0.7457,0.33093,1.95285,0.82536,1.09166,0.0006932,0.0006932,0.0006932
134,79.3239,0.83888,0.63713,0.82021,0.95481,0.75,0.74568,0.33091,1.91174,0.82103,1.09598,0.0006833,0.0006833,0.0006833
135,79.8678,0.88397,0.7236,0.81816,0.95967,0.75,0.74567,0.35605,1.83098,0.77433,1.08857,0.0006734,0.0006734,0.0006734
136,80.4411,0.92102,0.69636,0.86036,0.96306,0.75,0.74565,0.39751,1.77638,0.72654,1.07811,0.0006635,0.0006635,0.0006635
